reference,compare,layer,head,kv_type,overlap,n_principal_angles,mean_cos2
early,mid_early,13,6,V,0.7222192287445068,64,0.7222192287445068
early,mid_early,13,7,K,0.7896483540534973,64,0.7896483540534973
early,mid_early,13,7,V,0.7197453379631042,64,0.7197453379631042
early,mid_early,14,0,K,0.8596909046173096,64,0.8596909046173096
early,mid_early,14,0,V,0.6894784569740295,64,0.6894784569740295
early,mid_early,14,1,K,0.8214728832244873,64,0.8214728832244873
early,mid_early,14,1,V,0.6614883542060852,64,0.6614883542060852
early,mid_early,14,2,K,0.823142409324646,64,0.823142409324646
early,mid_early,14,2,V,0.7151795625686646,64,0.7151795625686646
early,mid_early,14,3,K,0.8143571019172668,64,0.8143571019172668
early,mid_early,14,3,V,0.7810869216918945,64,0.7810869216918945
early,mid_early,14,4,K,0.9280341863632202,64,0.9280341863632202
early,mid_early,14,4,V,0.7481368780136108,64,0.7481368780136108
early,mid_early,14,5,K,0.8265407085418701,64,0.8265407085418701
early,mid_early,14,5,V,0.6903159618377686,64,0.6903159618377686
early,mid_early,14,6,K,0.8129416108131409,64,0.8129416108131409
early,mid_early,14,6,V,0.7219752669334412,64,0.7219752669334412
early,mid_early,14,7,K,0.7917271852493286,64,0.7917271852493286
early,mid_early,14,7,V,0.6891688108444214,64,0.6891688108444214
early,mid_early,15,0,K,0.8442189693450928,64,0.8442189693450928
early,mid_early,15,0,V,0.7232832908630371,64,0.7232832908630371
early,mid_early,15,1,K,0.8601270914077759,64,0.8601270914077759
early,mid_early,15,1,V,0.7282506227493286,64,0.7282506227493286
early,mid_early,15,2,K,0.7760154604911804,64,0.7760154604911804
early,mid_early,15,2,V,0.6921286582946777,64,0.6921286582946777
early,mid_early,15,3,K,0.8383619785308838,64,0.8383619785308838
early,mid_early,15,3,V,0.6959377527236938,64,0.6959377527236938
early,mid_early,15,4,K,0.9316965341567993,64,0.9316965341567993
early,mid_early,15,4,V,0.7384042739868164,64,0.7384042739868164
early,mid_early,15,5,K,0.8491989374160767,64,0.8491989374160767
early,mid_early,15,5,V,0.7142311930656433,64,0.7142311930656433
early,mid_early,15,6,K,0.788838267326355,64,0.788838267326355
early,mid_early,15,6,V,0.7095038294792175,64,0.7095038294792175
early,mid_early,15,7,K,0.7623266577720642,64,0.7623266577720642
early,mid_early,15,7,V,0.7473559975624084,64,0.7473559975624084
early,mid_early,16,0,K,0.8134431838989258,64,0.8134431838989258
early,mid_early,16,0,V,0.7770044803619385,64,0.7770044803619385
early,mid_early,16,1,K,0.8318882584571838,64,0.8318882584571838
early,mid_early,16,1,V,0.6939315795898438,64,0.6939315795898438
early,mid_early,16,2,K,0.806084394454956,64,0.806084394454956
early,mid_early,16,2,V,0.6943691372871399,64,0.6943691372871399
early,mid_early,16,3,K,0.8005139827728271,64,0.8005139827728271
early,mid_early,16,3,V,0.6716052293777466,64,0.6716052293777466
early,mid_early,16,4,K,0.7858952283859253,64,0.7858952283859253
early,mid_early,16,4,V,0.7580492496490479,64,0.7580492496490479
