layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
12,7,oracle,64,4,256,2bit,0.0015068384115812113,0.030724281891053924,0.0007726880224349694,0.03107225724676617,0.75390625
12,7,transfer,64,4,256,2bit,0.005743140019431788,0.06023541232870061,0.0017443292074582318,0.046166288506992836,0.6240234375
12,7,full_dim,128,2,256,2bit,0.014919650018862644,0.0969291525912909,0.007288288654037273,0.09590102902297107,0.53125
12,7,oracle,64,8,512,4bit,0.0005621562280966694,0.01860261989719002,0.00029992703922257274,0.01914372850454297,0.8408203125
12,7,transfer,64,8,512,4bit,0.004780387811784143,0.054826009718317664,0.0013221837450996263,0.039842726781523743,0.7255859375
12,7,full_dim,128,4,512,4bit,0.000592184774032137,0.01921539150156188,0.00029506637612734094,0.019187956138820135,0.8623046875
13,0,oracle,64,4,256,2bit,0.003765310816289462,0.0485914878168841,0.0019220482725546715,0.049104464123783075,0.7802734375
13,0,transfer,64,4,256,2bit,0.010328012786956539,0.0805941727468506,0.0039175283690133095,0.06924269814296963,0.7197265625
13,0,full_dim,128,2,256,2bit,0.020916816468248806,0.1146457010753772,0.010342261029470813,0.11383762982549153,0.630859375
13,0,oracle,64,8,512,4bit,0.0025011457576097993,0.03930741621705729,0.00129948445653081,0.03996701920721763,0.7880859375
13,0,transfer,64,8,512,4bit,0.009214626152554622,0.07622200359678469,0.0033594195682045617,0.06385698017038137,0.73828125
13,0,full_dim,128,4,512,4bit,0.0008475287540338284,0.02314690733102573,0.0004234148403351091,0.023140251338375738,0.90625
13,1,oracle,64,4,256,2bit,0.013137024794304175,0.09085969564223798,0.006410005410915493,0.08946775214584607,0.7666015625
13,1,transfer,64,4,256,2bit,0.061705439155864905,0.19644932536565643,0.01797175517091484,0.13990247872556738,0.6396484375
13,1,full_dim,128,2,256,2bit,0.09070103082432071,0.23839658127864016,0.045473251426273564,0.2380990875630778,0.5546875
13,1,oracle,64,8,512,4bit,0.006613405506096922,0.06434942902575652,0.003362798273783164,0.06433504840096685,0.8291015625
